university,course_code,title,url
Stanford,CS 354,Topics in Intractability: Unfulfilled Algorithmic Fantasies,https://www.coursicle.com/stanford/courses/CS/354/
Stanford,CS 355,Advanced Topics in Cryptography,https://www.coursicle.com/stanford/courses/CS/355/
Stanford,CS 356,Topics in Computer and Network Security,https://www.coursicle.com/stanford/courses/CS/356/
Stanford,CS 357,Advanced Topics in Formal Methods,https://www.coursicle.com/stanford/courses/CS/357/
Stanford,CS 358,Topics in Programming Language Theory,https://www.coursicle.com/stanford/courses/CS/358/
Stanford,CS 358A,Programming Language Foundations,https://www.coursicle.com/stanford/courses/CS/358A/
Stanford,CS 359B,Designing Decentralized Applications on Blockchain,https://www.coursicle.com/stanford/courses/CS/359B/
Stanford,CS 360,Simplicity and Complexity in Economic Theory,https://www.coursicle.com/stanford/courses/CS/360/
Stanford,CS 361,Engineering Design Optimization,https://www.coursicle.com/stanford/courses/CS/361/
Stanford,CS 366,Computational Social Choice,https://www.coursicle.com/stanford/courses/CS/366/
Stanford,CS 368,Algorithmic Techniques for Big Data,https://www.coursicle.com/stanford/courses/CS/368/
Stanford,CS 369M,Metric Embeddings and Algorithmic Applications,https://www.coursicle.com/stanford/courses/CS/369M/
Stanford,CS 371,Computational Biology in Four Dimensions,https://www.coursicle.com/stanford/courses/CS/371/
Stanford,CS 372,Artificial Intelligence for Disease Diagnosis and Informatio...,https://www.coursicle.com/stanford/courses/CS/372/
Stanford,CS 373,Statistical and Machine Learning Methods for Genomics,https://www.coursicle.com/stanford/courses/CS/373/
Stanford,CS 375,Large-Scale Neural Network Modeling for Neuroscience,https://www.coursicle.com/stanford/courses/CS/375/
Stanford,CS 376,Human-Computer Interaction Research,https://www.coursicle.com/stanford/courses/CS/376/
Stanford,CS 377C,Topics in HCI: Crowdsourcing and Social Computing,https://www.coursicle.com/stanford/courses/CS/377C/
Stanford,CS 377E,Designing Solutions to Global Grand Challenges,https://www.coursicle.com/stanford/courses/CS/377E/
Stanford,CS 377G,Designing Serious Games,https://www.coursicle.com/stanford/courses/CS/377G/
Stanford,CS 377I,Designing Systems for Humans,https://www.coursicle.com/stanford/courses/CS/377I/
Stanford,CS 377N,Introduction to the Design of Smart Products,https://www.coursicle.com/stanford/courses/CS/377N/
Stanford,CS 377Q,Designing for Accessibility,https://www.coursicle.com/stanford/courses/CS/377Q/
Stanford,CS 377T,Topics in Human-Computer Interaction: Teaching Studio Classe...,https://www.coursicle.com/stanford/courses/CS/377T/
Stanford,CS 377U,Understanding Users,https://www.coursicle.com/stanford/courses/CS/377U/
Stanford,CS 379C,Computational Models of the Neocortex,https://www.coursicle.com/stanford/courses/CS/379C/
Stanford,CS 384,Seminar on Ethical and Social Issues in Natural Language Pro...,https://www.coursicle.com/stanford/courses/CS/384/
Stanford,CS 390A,Curricular Practical Training,https://www.coursicle.com/stanford/courses/CS/390A/
Stanford,CS 390B,Curricular Practical Training,https://www.coursicle.com/stanford/courses/CS/390B/
Stanford,CS 398,Computational Education,https://www.coursicle.com/stanford/courses/CS/398/
Stanford,CS 399,Independent Project,https://www.coursicle.com/stanford/courses/CS/399/
Stanford,CS 399P,Independent Project,https://www.coursicle.com/stanford/courses/CS/399P/
Stanford,CS 402,Beyond Bits and Atoms: Designing Technological Tools,https://www.coursicle.com/stanford/courses/CS/402/
Stanford,CS 402L,Beyond Bits and Atoms - Lab,https://www.coursicle.com/stanford/courses/CS/402L/
Stanford,CS 421,Designing AI to Cultivate Human Well-Being,https://www.coursicle.com/stanford/courses/CS/421/
Stanford,CS 428,Computation and Cognition: the Probabilistic Approach,https://www.coursicle.com/stanford/courses/CS/428/
Stanford,CS 448B,Data Visualization,https://www.coursicle.com/stanford/courses/CS/448B/
Stanford,CS 448H,Topics in Computer Graphics: Agile Hardware Design,https://www.coursicle.com/stanford/courses/CS/448H/
Stanford,CS 448I,Computational Imaging and Display,https://www.coursicle.com/stanford/courses/CS/448I/
Stanford,CS 448M,Making Making Machines for Makers,https://www.coursicle.com/stanford/courses/CS/448M/
Stanford,CS 448P,Hacking the Pandemic,https://www.coursicle.com/stanford/courses/CS/448P/
Stanford,CS 448V,Topics in Computer Graphics: Computational Video Manipulatio...,https://www.coursicle.com/stanford/courses/CS/448V/
Stanford,CS 472,Data science and AI for COVID-19,https://www.coursicle.com/stanford/courses/CS/472/
Stanford,CS 476A,"Music, Computing, Design I: the Art of Design",https://www.coursicle.com/stanford/courses/CS/476A/
Stanford,CS 499,Advanced Reading and Research,https://www.coursicle.com/stanford/courses/CS/499/
Stanford,CS 499P,Advanced Reading and Research,https://www.coursicle.com/stanford/courses/CS/499P/
Stanford,CS 520,Knowledge Graphs,https://www.coursicle.com/stanford/courses/CS/520/
Stanford,CS 521,Seminar on AI Safety,https://www.coursicle.com/stanford/courses/CS/521/
Stanford,CS 522,Seminar in Artificial Intelligence in Healthcare,https://www.coursicle.com/stanford/courses/CS/522/
Stanford,CS 529,Robotics and Autonomous Systems Seminar,https://www.coursicle.com/stanford/courses/CS/529/
Stanford,CS 544,Interactive Media and Games,https://www.coursicle.com/stanford/courses/CS/544/
Stanford,CS 547,Human-Computer Interaction Seminar,https://www.coursicle.com/stanford/courses/CS/547/
Stanford,CS 581,Media Innovation,https://www.coursicle.com/stanford/courses/CS/581/
Stanford,CS 802,TGR Dissertation,https://www.coursicle.com/stanford/courses/CS/802/
